disease_id,disease_name_en,category,question,purpose
D26,Chronic Obstructive Pulmonary Disease (COPD),Respiratory,Have you had any swelling in your legs or unusual fatigue?,Screen for cor pulmonale/right heart strain
D27,Allergic Rhinitis,ENT/Allergy,"How long have you had these symptoms, and do they come and go or are they constant?",Assess chronicity/pattern (perennial vs seasonal)
D27,Allergic Rhinitis,ENT/Allergy,"What seems to trigger your symptoms - dust, cold air, pets, specific seasons, or environments?",Identify allergen triggers
D27,Allergic Rhinitis,ENT/Allergy,"Do you have itchy eyes, throat, or skin along with the nasal symptoms?",Support allergic vs infectious etiology
D27,Allergic Rhinitis,ENT/Allergy,"Do you or your family have a history of asthma, eczema, or allergies?",Assess atopic predisposition
D27,Allergic Rhinitis,ENT/Allergy,"Is the discharge clear and watery, or thick and colored?",Differentiate allergic from infectious rhinitis/sinusitis
D27,Allergic Rhinitis,ENT/Allergy,Do symptoms affect your sleep or daily activities?,Assess severity/impact for treatment intensity
D27,Allergic Rhinitis,ENT/Allergy,Have you tried any antihistamines or nasal sprays? Did they help?,Assess prior treatment response
D28,Atopic/Contact Dermatitis,Dermatological,"Where on the body is the rash, and is it itchy?",Localize and assess key symptom (pruritus)
D28,Atopic/Contact Dermatitis,Dermatological,"Have you started using any new soap, detergent, cosmetic, or come into contact with a new substance recently?",Identify contact allergen/irritant
D28,Atopic/Contact Dermatitis,Dermatological,"Do you have a personal or family history of eczema, asthma, or allergies?",Assess atopic predisposition
D28,Atopic/Contact Dermatitis,Dermatological,"How long have you had this rash, and has it happened before in the same pattern?",Assess chronicity/recurrence
D28,Atopic/Contact Dermatitis,Dermatological,"Does sweating, heat, or certain fabrics make it worse?",Identify aggravating factors relevant to tropical climate
D28,Atopic/Contact Dermatitis,Dermatological,"Is there any oozing, pus, or increasing redness and warmth?",Screen for secondary bacterial infection
D28,Atopic/Contact Dermatitis,Dermatological,"What have you used to treat it so far, including any topical steroids?",Assess prior treatment and response
D29,Scabies,Dermatological/Infectious,"Where is the itching worst, and is it worse at night?","Classic distribution (finger webs, wrists, groin) and nocturnal itch pattern"
D29,Scabies,Dermatological/Infectious,"Does anyone else in your household, dormitory, or close contacts have similar itching?",Assess for common exposure - scabies spreads with close contact
D29,Scabies,Dermatological/Infectious,Can you see small burrow lines or tiny bumps on the skin?,Identify characteristic scabies burrows
D29,Scabies,Dermatological/Infectious,"How long have you had the itching, and has it been getting worse?",Assess chronicity/progression
D29,Scabies,Dermatological/Infectious,"Do you live in a crowded setting such as a boarding school, dormitory, or shared housing?",Identify high-risk living situation
D29,Scabies,Dermatological/Infectious,"Have you shared clothing, bedding, or towels with someone who has similar symptoms?",Assess fomite transmission risk
D29,Scabies,Dermatological/Infectious,"Is there any pus, crusting, or spreading redness at the itchy sites?",Screen for secondary bacterial skin infection
D30,Tinea (Fungal Skin Infection),Dermatological/Infectious,"Where is the rash located, and does it have a ring-like shape with a clearer center?",Identify classic tinea morphology
D30,Tinea (Fungal Skin Infection),Dermatological/Infectious,"Is the area itchy, and does sweating or heat make it worse?",Assess symptom pattern relevant to tropical climate
D30,Tinea (Fungal Skin Infection),Dermatological/Infectious,"How long have you had this rash, and has it spread?",Assess chronicity/spread
D30,Tinea (Fungal Skin Infection),Dermatological/Infectious,"Do you share clothing, towels, or have close contact with pets or others with similar skin issues?","Assess transmission source (fomites, animals, person-to-person)"
D30,Tinea (Fungal Skin Infection),Dermatological/Infectious,Have you used any antifungal or steroid creams already? Did symptoms improve or worsen?,Assess prior treatment - steroid use can worsen tinea (tinea incognito)
D30,Tinea (Fungal Skin Infection),Dermatological/Infectious,Do you have diabetes or any condition affecting your immune system?,Identify risk factors for more extensive/recurrent infection
D30,Tinea (Fungal Skin Infection),Dermatological/Infectious,"Do you sweat heavily or wear tight/non-breathable clothing for long periods (e.g., for work)?",Identify contributing environmental factors
D31,Urinary Tract Infection,Genitourinary,"Do you have burning or pain when urinating, and how often are you urinating?",Confirm classic lower UTI symptoms
D31,Urinary Tract Infection,Genitourinary,"Do you have any fever, chills, or pain in your back/flank?",Screen for upper tract involvement (pyelonephritis) - red flag
D31,Urinary Tract Infection,Genitourinary,"Have you noticed blood or cloudiness in your urine, or an unusual smell?",Assess for hematuria and infection severity
D31,Urinary Tract Infection,Genitourinary,Is there a chance you could be pregnant?,Pregnancy changes management urgency and antibiotic choice
D31,Urinary Tract Infection,Genitourinary,Have you had UTIs before? How frequently do they recur?,Assess for recurrent UTI requiring further workup
D31,Urinary Tract Infection,Genitourinary,"How much water do you drink daily, and do you tend to hold your urine for long periods?",Identify contributing behavioral factors
D31,Urinary Tract Infection,Genitourinary,Do you have diabetes or any condition affecting your immune system?,Identify risk factors for complicated UTI
D31,Urinary Tract Infection,Genitourinary,For men: any history of prostate problems or difficulty with urine flow?,Assess for structural/obstructive cause in male UTI
D32,Otitis Media,ENT,"Do you have ear pain, and is it in one ear or both?",Localize and assess laterality
D32,Otitis Media,ENT,Have you noticed any discharge from the ear?,Assess for tympanic membrane perforation
D32,Otitis Media,ENT,Do you have fever or reduced hearing?,Assess severity and associated symptoms
D32,Otitis Media,ENT,Did this start after a cold or upper respiratory infection?,Identify common precipitating cause
D32,Otitis Media,ENT,"For a child: has the child been pulling at the ear, unusually irritable, or feeding poorly?",Assess indirect symptoms in young children who cannot verbalize pain
D32,Otitis Media,ENT,Is there any swelling or tenderness behind the ear?,"Screen for mastoiditis, a serious complication"
D32,Otitis Media,ENT,"Has water entered the ear recently (swimming, bathing)?",Assess for otitis externa as an alternative diagnosis
D33,Pharyngitis / Tonsillitis,ENT/Infectious,"How long have you had the sore throat, and how severe is the pain when swallowing?",Establish onset and severity
D33,Pharyngitis / Tonsillitis,ENT/Infectious,"Do you have fever, and how high?",Assess systemic involvement
D33,Pharyngitis / Tonsillitis,ENT/Infectious,Have you noticed any white or yellow patches on your tonsils?,Screen for possible bacterial (streptococcal) tonsillitis
D33,Pharyngitis / Tonsillitis,ENT/Infectious,Do you have swollen or tender glands in your neck?,"Assess lymphadenopathy, supports infectious etiology"
D33,Pharyngitis / Tonsillitis,ENT/Infectious,"Do you have any difficulty breathing, swallowing your saliva, or opening your mouth wide?",Screen for airway-threatening complications - red flag
D33,Pharyngitis / Tonsillitis,ENT/Infectious,Have you been in contact with anyone with a similar sore throat recently?,Assess exposure/transmission pattern
D33,Pharyngitis / Tonsillitis,ENT/Infectious,How often do you get throat infections like this in a year?,Assess for recurrent tonsillitis needing ENT referral
D34,Conjunctivitis,Ophthalmological,"Is one eye affected or both, and did it start in one eye and spread to the other?","Assess laterality/spread pattern, relevant for viral vs bacterial vs allergic"
D34,Conjunctivitis,Ophthalmological,"What does the discharge look like - watery, or thick and yellow/green?",Differentiate viral/allergic (watery) from bacterial (purulent) conjunctivitis
D34,Conjunctivitis,Ophthalmological,"Is there any eye pain, or just itching/irritation?",Significant pain is a red flag requiring urgent eye assessment
D34,Conjunctivitis,Ophthalmological,Have you noticed any change in your vision?,Screen for vision-threatening conditions requiring urgent referral
D34,Conjunctivitis,Ophthalmological,Are you sensitive to light?,Photophobia may indicate more serious ocular involvement
D34,Conjunctivitis,Ophthalmological,Has anyone around you had similar red/itchy eyes recently?,"Assess for contagious spread, common with viral conjunctivitis"
D34,Conjunctivitis,Ophthalmological,"Do you wear contact lenses, or have you had any injury or object in the eye?",Identify risk factors for more serious corneal involvement
D34,Conjunctivitis,Ophthalmological,Do you have any seasonal allergies or history of allergic conjunctivitis?,Assess for allergic etiology
D35,Malaria,Infectious,"Do you live in or have you recently traveled to a malaria-endemic area (e.g., southern coastal Java, other islands)?",Establish exposure risk - essential for malaria suspicion
D35,Malaria,Infectious,Does your fever come in cycles with chills/shivering followed by sweating?,Assess for classic paroxysmal fever pattern
D35,Malaria,Infectious,Have you had malaria before?,Assess for possible relapse (P. vivax/ovale)
D35,Malaria,Infectious,"Do you sleep under a mosquito net, or use mosquito repellent?",Assess exposure prevention practices
D35,Malaria,Infectious,"Have you noticed yellowing of your eyes/skin, dark urine, or confusion?",Screen for severe/complicated malaria - red flags
D35,Malaria,Infectious,Have you taken any antimalarial treatment already?,"Assess prior treatment, guides further management"
D35,Malaria,Infectious,"Do you have a headache, muscle aches, or feel extremely fatigued?",Assess associated symptom burden
D36,Chikungunya Fever,Infectious,"When did the fever start, and how severe is your joint pain?",Establish onset and hallmark symptom severity
D36,Chikungunya Fever,Infectious,"Which joints are painful, and is the pain symmetric on both sides?","Chikungunya classically causes severe, often symmetric polyarthralgia"
D36,Chikungunya Fever,Infectious,Have you noticed any skin rash?,Common associated feature
D36,Chikungunya Fever,Infectious,Has anyone in your neighborhood recently been diagnosed with chikungunya or dengue?,Assess local outbreak context
D36,Chikungunya Fever,Infectious,"Do you have any bleeding, severe abdominal pain, or persistent vomiting?","Screen for dengue warning signs, since co-circulation is common"
D36,Chikungunya Fever,Infectious,How long has the joint pain lasted?,Chikungunya joint pain can persist for weeks to months (chronic phase)
D36,Chikungunya Fever,Infectious,Have you been able to move around and perform daily activities?,Assess functional impact of joint symptoms
D37,Intestinal Worm Infestation (Helminthiasis),Infectious/Gastrointestinal,Have you noticed any worms in your stool?,Direct evidence of infestation
D37,Intestinal Worm Infestation (Helminthiasis),Infectious/Gastrointestinal,"Do you have abdominal pain, bloating, or poor appetite?",Assess GI symptom burden
D37,Intestinal Worm Infestation (Helminthiasis),Infectious/Gastrointestinal,"For a child: has there been poor weight gain, growth delay, or reduced energy/concentration at school?","Assess nutritional/developmental impact, key in pediatric cases"
D37,Intestinal Worm Infestation (Helminthiasis),Infectious/Gastrointestinal,"Is there itching around the anus, especially at night?",Classic pinworm symptom
D37,Intestinal Worm Infestation (Helminthiasis),Infectious/Gastrointestinal,"Do you or your household typically walk barefoot on soil, or how is your access to clean water and sanitation (toilets)?",Assess soil-transmitted helminth exposure risk
D37,Intestinal Worm Infestation (Helminthiasis),Infectious/Gastrointestinal,"Have you taken deworming medication before, and when was the last dose?",Assess prior treatment/prevention history
D37,Intestinal Worm Infestation (Helminthiasis),Infectious/Gastrointestinal,Do you eat raw or undercooked meat/fish?,Assess risk for tapeworm infection specifically
D38,Leptospirosis,Infectious,"Have you had any recent contact with flood water, or waded through standing water?",Establish key exposure - critical during Java's flood season
D38,Leptospirosis,Infectious,"Do you have severe muscle pain, especially in your calves?",Classic leptospirosis symptom
D38,Leptospirosis,Infectious,Have you noticed your eyes look red without discharge?,"Screen for conjunctival suffusion, a hallmark sign"
D38,Leptospirosis,Infectious,"Have you noticed yellowing of your skin or eyes, or dark urine?",Screen for hepatic/renal involvement - red flag for severe disease (Weil's disease)
D38,Leptospirosis,Infectious,"How much are you urinating, and has this changed recently?",Assess for renal involvement
D38,Leptospirosis,Infectious,"Do you work in an environment with exposure to rodents, contaminated water, or agriculture/sanitation work?",Assess occupational exposure risk
D38,Leptospirosis,Infectious,Have you had any cough or difficulty breathing?,"Screen for pulmonary hemorrhage, a severe complication"
D39,Hepatitis A,Infectious/Gastrointestinal,"Have you noticed yellowing of your eyes or skin, or dark-colored urine?","Assess for jaundice, a hallmark sign"
D39,Hepatitis A,Infectious/Gastrointestinal,"Do you have nausea, poor appetite, or fatigue?",Assess prodromal symptom pattern
D39,Hepatitis A,Infectious/Gastrointestinal,"Have you eaten food from street vendors, shellfish, or water from an uncertain source recently?",Identify fecal-oral transmission source
D39,Hepatitis A,Infectious/Gastrointestinal,Has anyone around you recently had similar symptoms or been diagnosed with hepatitis?,Assess for common-source outbreak
D39,Hepatitis A,Infectious/Gastrointestinal,Do you have pain in the upper right side of your abdomen?,Assess for liver involvement/hepatomegaly
D39,Hepatitis A,Infectious/Gastrointestinal,Have you traveled recently to an area with poor sanitation?,Assess travel-related exposure
D39,Hepatitis A,Infectious/Gastrointestinal,Have you had a hepatitis A vaccination before?,Assess immunization status
D39,Hepatitis A,Infectious/Gastrointestinal,"Do you drink alcohol, or take any medications that could affect the liver?",Assess additional hepatotoxic risk factors
D40,Post-Stroke Follow-up / Chronic Sequelae,Neurological,"When was your stroke, and what part of your body was affected?",Establish history and baseline deficit
D40,Post-Stroke Follow-up / Chronic Sequelae,Neurological,"Have you noticed any new or worsening weakness, numbness, or speech difficulty since your last visit?",Screen for new stroke/TIA or progression - urgent if positive
D40,Post-Stroke Follow-up / Chronic Sequelae,Neurological,"Are you taking your blood pressure, diabetes, and cholesterol medications regularly?",Assess secondary prevention adherence
D40,Post-Stroke Follow-up / Chronic Sequelae,Neurological,"Do you have any difficulty swallowing, or have you had choking episodes while eating?",Screen for dysphagia and aspiration risk
D40,Post-Stroke Follow-up / Chronic Sequelae,Neurological,"How is your mood - have you felt persistently sad, hopeless, or lost interest in activities?","Screen for post-stroke depression, common and under-recognized"
D40,Post-Stroke Follow-up / Chronic Sequelae,Neurological,Are you attending physiotherapy or rehabilitation? How is your progress with mobility?,Assess rehabilitation engagement and functional recovery
D40,Post-Stroke Follow-up / Chronic Sequelae,Neurological,"Do you smoke, and how is your blood pressure and blood sugar control currently?",Assess ongoing modifiable risk factors for recurrence
D40,Post-Stroke Follow-up / Chronic Sequelae,Neurological,Have you had any falls recently?,Assess safety risk related to balance/gait impairment
